Codigo,Foto_atual_2018,Categoria,Descricao,Quantidade,Local,Sublocal,Tecido,Eletricista,Cristais,Obs,Dimensao,Reconferencia,Arquivo
001-0001,https://i.imgur.com/M5SdKgU.png,Abajur,ABADJUR ANTIGO DOURADO (GIGA),2,Loja,Area Da Entrada,0,1,0,"FICAM NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_ABAJUR
001-0002,https://i.imgur.com/Yol6ceE.png,Abajur,ABADJUR BEGE COM DESENHO,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0003,https://i.imgur.com/mrzUINR.png,Abajur,ABADJUR BRONZE HOMEM E MULHER,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0004,https://i.imgur.com/aleNQat.png,Abajur,ABADJUR COM BASE DE VIDRO CÚPULA PRETA,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0005,https://i.imgur.com/GK1vs2Y.png,Abajur,ABADJUR COM BASE FINA CROMADO E PÉ ESPELHADO,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0006,https://i.imgur.com/AbF8Ey8.png,Abajur,ABADJUR DE CRISTAL DA LINHA OURO,2,Loja,Area Da Entrada,0,1,0,"FICAM NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_ABAJUR
001-0007,https://i.imgur.com/SEfZgOO.png,Abajur,ABADJUR DE FERRO CINZA CÚPULA PRETA,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0008,https://i.imgur.com/GNkn8WW.png,Abajur,ABADJUR DE FERRO PRETO COM CÚPULA BEGE,2,Loja,Deposito,0,1,0,"FICAM NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0009,https://i.imgur.com/f11uCyB.png,Abajur,ABADJUR DE FERRO PRETO VAZADO,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0010,https://i.imgur.com/DkPiWfO.png,Abajur,ABADJUR DE METAL GG,1,Loja,Area Da Entrada,0,1,0,"FICA NA LOJA, SALA COMERCIAL",NA,NA,CATALOGO_ABAJUR
001-0011,https://i.imgur.com/VyKAmUF.png,Abajur,ABADJUR GALHO DE ÁRVORE RETANGULAR,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0012,https://i.imgur.com/RHXdMlV.png,Abajur,ABADJUR GORDINHO VERDE COM DESENHO,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
