"typeResult","idGame","slugTeam","namePlayer","groupStartPosition","idTeam","idPlayer","pctAST","pctOREB","pctDREB","pctTREB","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","cityTeam","isStarter","minExact","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","PACE_PER40","possessions","ratioPIE"
"player",21900001,"NOP","Jrue Holiday","F",1610612740,201950,0.207,0.05,0.043,0.047,19.2,0.433,0.409,0.208,0.206,"New Orleans",TRUE,41.0833333333333,106.5,107.8,117.7,122,-11.1,-14.2,1.2,23.1,108.28,105.74,88.11,90,0.029
"player",21900001,"NOP","Brandon Ingram","F",1610612740,1627742,0.227,0,0.125,0.068,7.4,0.474,0.53,0.272,0.269,"New Orleans",TRUE,35.1,101.5,102.6,120.2,122.5,-18.7,-19.9,2.5,18.5,108.99,107.35,89.46,77,0.112
"player",21900001,"NOP","Derrick Favors","C",1610612740,202324,0.118,0.048,0.261,0.159,11.1,0.5,0.5,0.137,0.136,"New Orleans",TRUE,20.75,106.8,108.2,129.6,132.7,-22.8,-24.5,2,22.2,115.39,113.31,94.43,49,0.056
"player",21900001,"NOP","JJ Redick","G",1610612740,200755,0.056,0,0.067,0.034,23.1,0.889,0.889,0.179,0.177,"New Orleans",TRUE,27.0333333333333,99,100,122.1,122.2,-23.2,-22.2,0.33,7.7,112.46,111.86,93.21,63,0.08
"player",21900001,"NOP","Lonzo Ball","G",1610612740,1628366,0.227,0,0.172,0.096,7.1,0.429,0.508,0.153,0.151,"New Orleans",TRUE,24.8333333333333,111,112.3,118.3,122.4,-7.2,-10.1,5,35.7,113.73,111.14,92.62,57,0.08
"player",21900001,"NOP","Josh Hart",NA,1610612740,1628404,0.067,0.111,0.167,0.139,7.7,0.611,0.697,0.174,0.171,"New Orleans",TRUE,28.1666666666667,103.3,105.5,97.2,101.7,6,3.7,1,7.7,99.56,96.28,80.24,55,0.213
"player",21900001,"NOP","Jahlil Okafor",NA,1610612740,1626143,0,0.095,0,0.057,20,1,0.926,0.152,0.147,"New Orleans",TRUE,12.4833333333333,87.7,91.7,108.5,111.5,-20.8,-19.9,0,0,99.59,96.13,80.11,24,0.167
"player",21900001,"NOP","E'Twaun Moore",NA,1610612740,202734,0.4,0.053,0.111,0.081,0,0.357,0.357,0.212,0.214,"New Orleans",TRUE,12.1,92.3,91.3,85.1,88,7.1,3.3,0,22.2,96.4,95.21,79.34,23,0.231
"player",21900001,"NOP","Nickeil Alexander-Walker",NA,1610612740,1629638,0.286,0.053,0.158,0.105,7.7,0.15,0.15,0.333,0.336,"New Orleans",TRUE,11.9166666666667,109.8,108.7,72,76,37.9,32.7,2,15.4,99.01,96.67,80.56,23,-0.077
"player",21900001,"NOP","Kenrich Williams",NA,1610612740,1629026,0.231,0.115,0.115,0.115,11.1,0,0.282,0.125,0.125,"New Orleans",TRUE,18.05,119.6,119.4,79.7,82.1,39.9,37.4,3,33.3,101.22,99.73,83.11,36,0.062
"player",21900001,"NOP","Nicolo Melli",NA,1610612740,1629740,0.2,0.118,0.111,0.114,18.2,1,1,0.2,0.204,"New Orleans",TRUE,19.6166666666667,120.3,117.5,84,87.8,36.2,29.7,1,18.2,100.25,99.12,82.6,40,0.252
