"typeResult","idGame","namePlayer","teamName","PARTIAL_POSS","SWITCHES_ON","ptsPlayerAllowed","dreb","MATCHUP_AST","MATCHUP_TOV","stl","blk","MATCHUP_FGM","MATCHUP_FGA","MATCHUP_FG_PCT","MATCHUP_FG3M","MATCHUP_FG3A","MATCHUP_FG3_PCT"
"player",21900001,"Jrue Holiday","Pelicans",58.4,0,6,2,6,1,0,2,2,13,0.154,2,7,0.286
"player",21900001,"Brandon Ingram","Pelicans",50.11,0,16,5,3,0,1,2,6,17,0.353,0,4,0
"player",21900001,"Derrick Favors","Pelicans",31.09,0,26,6,0,0,0,1,10,13,0.769,3,4,0.75
"player",21900001,"JJ Redick","Pelicans",38.66,0,7,2,5,1,0,0,1,5,0.2,0,3,0
"player",21900001,"Lonzo Ball","Pelicans",36.29,0,13,5,6,5,0,0,4,6,0.667,3,4,0.75
"player",21900001,"Josh Hart","Pelicans",36.11,0,11,6,3,1,0,1,3,6,0.5,1,1,1
"player",21900001,"Jahlil Okafor","Pelicans",15.98,0,9,0,1,1,0,1,2,8,0.25,0,1,0
"player",21900001,"E'Twaun Moore","Pelicans",13.99,0,2,2,0,0,0,0,1,3,0.333,0,1,0
"player",21900001,"Nickeil Alexander-Walker","Pelicans",13.98,0,6,3,0,1,2,0,2,2,1,0,0,0
"player",21900001,"Kenrich Williams","Pelicans",23.16,0,9,3,0,3,1,2,3,7,0.429,1,3,0.333
"player",21900001,"Nicolo Melli","Pelicans",24.47,0,4,3,2,0,0,0,2,15,0.133,0,5,0
"player",21900001,"Frank Jackson","Pelicans",19.73,0,6,0,1,0,0,0,1,2,0.5,1,2,0.5
"player",21900001,"OG Anunoby","Raptors",53.54,0,24,4,2,2,0,2,8,16,0.5,3,8,0.375
"player",21900001,"Pascal Siakam","Raptors",57.78,0,25,12,2,2,0,1,8,17,0.471,2,3,0.667
"player",21900001,"Marc Gasol","Raptors",47.5,0,21,3,4,2,0,0,9,13,0.692,2,4,0.5
"player",21900001,"Kyle Lowry","Raptors",68.89,0,19,4,4,2,2,0,6,15,0.4,5,9,0.556
"player",21900001,"Fred VanVleet","Raptors",65.7,0,5,5,8,4,2,0,2,12,0.167,1,6,0.167
"player",21900001,"Serge Ibaka","Raptors",39.35,0,18,3,2,1,1,0,7,17,0.412,4,8,0.5
"player",21900001,"Norman Powell","Raptors",40.14,0,3,7,2,2,0,0,1,4,0.25,1,3,0.333
"player",21900001,"Terence Davis","Raptors",23.47,0,5,3,0,3,2,0,1,5,0.2,1,3,0.333
"player",21900002,"Anthony Davis","Lakers",48.71,0,16,6,2,1,1,2,6,12,0.5,2,5,0.4
"player",21900002,"LeBron James","Lakers",47.47,0,8,9,1,1,1,1,3,5,0.6,1,2,0.5
"player",21900002,"JaVale McGee","Lakers",23.56,0,15,1,3,2,0,2,7,12,0.583,1,2,0.5
"player",21900002,"Danny Green","Lakers",40.8,0,21,6,4,3,2,1,8,15,0.533,2,4,0.5
"player",21900002,"Avery Bradley","Lakers",30.76,0,5,3,3,1,0,0,2,5,0.4,1,4,0.25
"player",21900002,"Kentavious Caldwell-Pope","Lakers",35.23,0,18,3,2,0,0,0,6,8,0.75,0,1,0
"player",21900002,"Dwight Howard","Lakers",22.48,0,8,3,2,1,0,1,3,6,0.5,0,1,0
"player",21900002,"Troy Daniels","Lakers",20.99,0,0,0,1,0,0,0,0,7,0,0,5,0
"player",21900002,"Quinn Cook","Lakers",20.8,0,5,1,0,0,0,0,2,4,0.5,1,3,0.333
"player",21900002,"Jared Dudley","Lakers",16.68,0,8,0,3,2,0,0,3,5,0.6,2,3,0.667
"player",21900002,"Kawhi Leonard","Clippers",43.46,0,12,5,3,1,2,1,5,14,0.357,1,8,0.125
"player",21900002,"Patrick Patterson","Clippers",25.43,0,4,2,4,0,0,0,2,7,0.286,0,2,0
"player",21900002,"Ivica Zubac","Clippers",14.7,0,5,0,2,0,0,0,1,4,0.25,0,0,0
"player",21900002,"Landry Shamet","Clippers",38.51,0,9,3,2,1,0,0,3,4,0.75,1,2,0.5
"player",21900002,"Patrick Beverley","Clippers",42.71,0,11,8,5,2,0,1,3,9,0.333,2,6,0.333
"player",21900002,"Montrezl Harrell","Clippers",51.28,0,19,5,4,3,1,1,8,21,0.381,1,3,0.333
"player",21900002,"Lou Williams","Clippers",48.62,0,8,4,0,3,1,0,3,5,0.6,2,3,0.667
"player",21900002,"JaMychal Green","Clippers",26.53,0,15,5,0,1,0,0,6,12,0.5,2,5,0.4
"player",21900002,"Maurice Harkless","Clippers",38.41,0,10,2,1,2,4,2,3,6,0.5,1,1,1
"player",21900003,"Otto Porter Jr.","Bulls",37.91,0,11,2,1,1,2,1,4,7,0.571,2,3,0.667
"player",21900003,"Lauri Markkanen","Bulls",47.93,0,13,12,1,0,1,0,4,9,0.444,3,5,0.6
"player",21900003,"Wendell Carter Jr.","Bulls",41.67,0,15,4,5,3,0,1,5,12,0.417,0,2,0
"player",21900003,"Zach LaVine","Bulls",41.55,0,15,3,3,2,2,1,5,10,0.5,3,7,0.429
"player",21900003,"Tomas Satoransky","Bulls",35.17,0,12,0,3,3,0,1,4,9,0.444,3,3,1
"player",21900003,"Luke Kornet","Bulls",10.99,0,10,2,1,1,0,0,5,8,0.625,0,2,0
"player",21900003,"Coby White","Bulls",36.35,0,13,3,4,2,0,0,5,8,0.625,2,4,0.5
"player",21900003,"Thaddeus Young","Bulls",31.29,0,12,2,2,2,1,0,4,11,0.364,4,8,0.5
"player",21900003,"Kris Dunn","Bulls",31.32,0,14,1,2,4,4,0,5,6,0.833,3,4,0.75
"player",21900003,"Ryan Arcidiacono","Bulls",15.53,0,8,0,1,0,1,0,3,5,0.6,2,3,0.667
"player",21900003,"Miles Bridges","Hornets",46.53,0,6,5,4,0,0,3,3,13,0.231,0,6,0
"player",21900003,"P.J. Washington","Hornets",53.98,0,25,3,2,1,1,1,10,19,0.526,2,4,0.5
"player",21900003,"Cody Zeller","Hornets",49.48,0,25,8,2,3,0,0,9,26,0.346,3,9,0.333
"player",21900003,"Dwayne Bacon","Hornets",47.04,0,13,4,0,2,2,0,4,6,0.667,1,1,1
"player",21900003,"Terry Rozier","Hornets",45.77,0,9,3,3,1,0,0,4,8,0.5,1,3,0.333
"player",21900003,"Devonte' Graham","Hornets",37.87,0,13,3,2,2,0,0,6,10,0.6,1,2,0.5
"player",21900003,"Marvin Williams","Hornets",25.29,0,13,2,2,1,0,0,5,10,0.5,0,2,0
"player",21900003,"Nicolas Batum","Hornets",17.17,0,1,3,3,0,0,0,0,0,0,0,0,0
"player",21900003,"Malik Monk","Hornets",25.92,0,10,1,0,0,0,0,4,8,0.5,0,1,0
"player",21900004,"Tony Snell","Pistons",43.43,0,13,2,0,1,0,0,5,9,0.556,1,4,0.25
"player",21900004,"Markieff Morris","Pistons",33.35,0,5,3,1,2,1,0,2,6,0.333,1,2,0.5
"player",21900004,"Andre Drummond","Pistons",58.81,0,22,16,5,4,3,4,10,22,0.455,1,3,0.333
"player",21900004,"Bruce Brown","Pistons",41.25,0,17,3,2,1,0,0,6,11,0.545,2,2,1
"player",21900004,"Reggie Jackson","Pistons",29.24,0,2,1,2,1,0,0,0,4,0,0,1,0
"player",21900004,"Luke Kennard","Pistons",39.25,0,8,3,0,1,0,0,2,5,0.4,2,3,0.667
"player",21900004,"Derrick Rose","Pistons",37.84,0,18,2,9,0,0,0,8,11,0.727,1,3,0.333
"player",21900004,"Thon Maker","Pistons",22.58,0,13,2,2,2,0,1,4,11,0.364,0,1,0
"player",21900004,"Langston Galloway","Pistons",28.69,0,6,3,1,1,1,1,2,6,0.333,0,1,0
"player",21900004,"Christian Wood","Pistons",6.08,0,2,0,0,0,0,0,1,2,0.5,0,1,0
"player",21900004,"Tim Frazier","Pistons",1.28,0,0,0,0,0,0,0,0,0,0,0,0,0
