"slugSeason","numberGameTeamSeason","numberGamePlayerSeason","slugMatchup","idGame","outcomeGame","locationGame","nameTeam","slugOpponent","dateGame","idPlayer","namePlayer","minutes","fgm","fga","fg3m","fg3a","ftm","fta","pts","oreb","dreb","treb","ast","stl","blk","tov","pf","plusminus","dateBirth","yearDraft","numberRound","numberOverallPick","nameSchool","heightInches","weightLBS","heightFeet"
"2019-20",1,1,"MIA vs. MEM",21900007,"W","H","Miami Heat","MEM",2019-10-23,203086,"Meyers Leonard",19,0,2,0,2,0,0,0,0,3,3,0,1,0,0,4,-6,1992-02-27,2012,1,11,"Illinois",84,260,6.9999999972
"2019-20",1,1,"MIA vs. MEM",21900007,"W","H","Miami Heat","MEM",2019-10-23,1628389,"Bam Adebayo",24,3,7,0,0,8,10,14,4,7,11,3,1,0,5,3,10,1997-07-18,2017,1,14,"Kentucky",81,255,6.7499999973
"2019-20",1,1,"MIA vs. MEM",21900007,"W","H","Miami Heat","MEM",2019-10-23,1627884,"Derrick Jones Jr.",16,2,3,0,0,0,0,4,1,0,1,0,0,0,1,5,4,1997-02-15,NA,NA,NA,"UNLV",78,210,6.4999999974
"2019-20",1,1,"MIA vs. MEM",21900007,"W","H","Miami Heat","MEM",2019-10-23,1629639,"Tyler Herro",34,6,14,1,2,1,1,14,0,8,8,1,2,0,1,2,10,2000-01-20,2019,1,13,"Kentucky",77,195,6.4166666641
"2019-20",1,1,"MIA vs. MEM",21900007,"W","H","Miami Heat","MEM",2019-10-23,1629735,"Chris Silva",11,3,3,0,0,2,2,8,3,3,6,0,0,3,2,5,18,1996-09-19,NA,NA,NA,"South Carolina",80,234,6.666666664
"2019-20",1,1,"MIA vs. MEM",21900007,"W","H","Miami Heat","MEM",2019-10-23,1629644,"KZ Okpala",1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-4,1999-04-28,2019,2,32,"Stanford",80,215,6.666666664
"2019-20",1,1,"MIA vs. MEM",21900007,"W","H","Miami Heat","MEM",2019-10-23,203482,"Kelly Olynyk",22,1,3,1,1,4,4,7,1,7,8,0,1,2,2,4,21,1991-04-19,2013,1,13,"Gonzaga",83,240,6.9166666639
"2019-20",1,1,"MIA vs. MEM",21900007,"W","H","Miami Heat","MEM",2019-10-23,201609,"Goran Dragic",25,4,9,2,4,9,10,19,0,3,3,3,1,2,4,1,0,1986-05-06,2008,2,45,NA,75,190,6.2499999975
"2019-20",1,1,"MIA vs. MEM",21900007,"W","H","Miami Heat","MEM",2019-10-23,1629130,"Duncan Robinson",23,1,5,1,5,0,0,3,0,1,1,1,0,0,1,2,-3,1994-04-22,NA,NA,NA,"Michigan",79,215,6.5833333307
"2019-20",1,1,"MIA vs. MEM",21900007,"W","H","Miami Heat","MEM",2019-10-23,1626159,"Justise Winslow",37,10,21,1,2,6,9,27,2,5,7,7,1,1,3,2,22,1996-03-26,2015,1,10,"Duke",78,222,6.4999999974
