"typeResult","idGame","namePlayer","fgContested","fg2Contested","fg3Contested","boxOutsPlayerTeamRebound","screenAssist","ptsScreenAssist","pts","deflections","chargesDrawn","looseBallsRecoveredOffense","looseBallsRecoveredDefense","looseBallsRecovered","boxOutsOffense","boxOutsDefense","boxOutsPlayerTREB","boxOuts"
"player",21900001,"Jrue Holiday",9,4,5,"3",0,0,13,3,1,1,1,2,0,4,0,4
"player",21900001,"Brandon Ingram",12,8,4,"0",2,5,22,3,0,0,0,0,0,0,0,0
"player",21900001,"Derrick Favors",9,7,2,"2",4,9,6,3,0,0,0,0,1,3,2,4
"player",21900001,"JJ Redick",4,1,3,"0",0,0,16,2,1,0,0,0,0,0,0,0
"player",21900001,"Lonzo Ball",4,2,2,"1",0,0,8,1,1,1,1,2,0,2,0,2
"player",21900001,"Josh Hart",7,6,1,"0",0,0,15,1,1,1,0,1,0,0,0,0
"player",21900001,"Jahlil Okafor",8,7,1,"0",1,2,8,0,0,0,0,0,0,2,0,2
"player",21900001,"E'Twaun Moore",3,2,1,"0",0,0,5,0,0,1,1,2,0,0,0,0
"player",21900001,"Nickeil Alexander-Walker",2,1,1,"1",0,0,3,1,1,0,0,0,0,1,0,1
"player",21900001,"Kenrich Williams",9,6,3,"1",0,0,3,2,0,0,0,0,0,3,0,3
"player",21900001,"Nicolo Melli",9,6,3,"1",0,0,14,1,0,0,0,0,0,3,1,3
"player",21900001,"Frank Jackson",2,0,2,"0",0,0,9,0,0,0,1,1,0,0,0,0
"player",21900001,"OG Anunoby",16,8,8,"1",1,2,11,1,1,0,0,0,0,1,0,1
"player",21900001,"Pascal Siakam",13,9,4,"0",0,0,34,0,0,1,1,2,0,2,0,2
"player",21900001,"Marc Gasol",10,6,4,"2",3,8,6,2,0,0,0,0,0,5,0,5
"player",21900001,"Kyle Lowry",10,4,6,"4",0,0,22,6,1,0,3,3,0,4,0,4
"player",21900001,"Fred VanVleet",10,4,6,"3",1,3,34,5,0,0,0,0,0,3,0,3
"player",21900001,"Serge Ibaka",15,9,6,"5",3,6,13,3,0,0,1,1,1,4,1,5
"player",21900001,"Norman Powell",2,1,1,"0",0,0,5,2,0,3,0,3,0,1,0,1
"player",21900001,"Terence Davis",5,2,3,"0",0,0,5,3,1,1,0,1,0,2,0,2
"player",21900002,"Anthony Davis",12,6,6,"2",2,5,25,1,0,1,0,1,0,2,0,2
"player",21900002,"LeBron James",3,2,1,"1",1,3,18,1,2,4,1,5,0,1,1,1
"player",21900002,"JaVale McGee",7,6,1,"1",1,2,4,0,0,0,0,0,0,2,1,2
"player",21900002,"Danny Green",13,10,3,"3",0,0,28,6,1,0,1,1,0,4,1,4
"player",21900002,"Avery Bradley",4,1,3,"0",0,0,8,0,0,1,0,1,0,0,0,0
"player",21900002,"Kentavious Caldwell-Pope",6,6,0,"0",0,0,0,2,0,1,1,2,0,0,0,0
"player",21900002,"Dwight Howard",3,3,0,"0",1,3,3,2,0,0,0,0,0,0,0,0
"player",21900002,"Troy Daniels",4,0,4,"0",0,0,6,0,0,0,0,0,0,0,0,0
