"idGame","slugTeam","idTeam","teamName","cityTeam","minExact","ptsOffTOV","ptsSecondChance","ptsFastBreak","ptsPaint","ptsOffTOVOpponent","ptsSecondChanceOpponent","ptsFastBreakOpponent","ptsPaintOpponent","blk","blka","pf","pfd"
21900001,"TOR",1610612761,"Raptors","Toronto",265,22,19,20,56,20,9,13,38,3,9,24,34
21900001,"NOP",1610612740,"Pelicans","New Orleans",265,20,9,13,38,22,19,20,56,9,3,34,24
21900002,"LAL",1610612747,"Lakers","Los Angeles",240,17,6,5,40,25,12,22,42,7,5,24,25
21900002,"LAC",1610612746,"Clippers","LA",240,25,12,22,42,17,6,5,40,5,7,25,24
21900003,"CHI",1610612741,"Bulls","Chicago",240,29,17,21,78,13,12,25,42,4,4,20,18
21900003,"CHA",1610612766,"Hornets","Charlotte",240,13,12,25,42,29,17,21,78,4,4,18,20
21900004,"IND",1610612754,"Pacers","Indiana",240,17,19,8,50,14,17,12,46,6,6,28,21
21900004,"DET",1610612765,"Pistons","Detroit",240,14,17,12,46,17,19,8,50,6,6,21,28
21900005,"ORL",1610612753,"Magic","Orlando",240,11,8,14,50,11,7,10,42,4,2,18,15
21900005,"CLE",1610612739,"Cavaliers","Cleveland",240,11,7,10,42,11,8,14,50,2,4,15,18
21900006,"MIN",1610612750,"Timberwolves","Minnesota",265,15,14,8,60,14,8,20,60,4,9,22,30
21900006,"BKN",1610612751,"Nets","Brooklyn",265,14,8,20,60,15,14,8,60,9,4,30,22
21900007,"MIA",1610612748,"Heat","Miami",240,24,16,12,60,24,15,20,56,8,7,33,31
21900007,"MEM",1610612763,"Grizzlies","Memphis",240,24,15,20,56,24,16,12,60,7,8,31,33
21900008,"PHI",1610612755,"76ers","Philadelphia",240,11,17,14,58,20,16,8,44,7,2,34,29
21900008,"BOS",1610612738,"Celtics","Boston",240,20,16,8,44,11,17,14,58,2,7,29,34
21900009,"WAS",1610612764,"Wizards","Washington",240,17,19,20,44,18,12,14,36,3,5,32,22
21900009,"DAL",1610612742,"Mavericks","Dallas",240,18,12,14,36,17,19,20,44,5,3,22,32
21900010,"SAS",1610612759,"Spurs","San Antonio",240,16,15,30,54,32,6,29,58,5,1,18,32
21900010,"NYK",1610612752,"Knicks","New York",240,32,6,29,58,16,15,30,54,1,5,32,18
21900011,"UTA",1610612762,"Jazz","Utah",240,10,8,18,58,8,11,7,34,5,4,31,23
21900011,"OKC",1610612760,"Thunder","Oklahoma City",240,8,11,7,34,10,8,18,58,4,5,23,31
21900012,"SAC",1610612758,"Kings","Sacramento",240,6,15,11,34,35,18,27,68,5,9,24,25
21900012,"PHX",1610612756,"Suns","Phoenix",240,35,18,27,68,6,15,11,34,9,5,25,24
21900013,"POR",1610612757,"Trail Blazers","Portland",240,18,23,12,54,12,7,10,22,4,4,25,23
