"idPlayer","namePlayer","dateBirth","numberJersey","idTeam","teamName","slugTeam","cityTeam","slugPlayer","yearSeasonFirst","yearSeasonLast","yearDraft","numberRound","numberOverallPick","slugSeason","nameSchool","nameOrganizationFrom","heightInches","weightLBS","countSeasonsPlayed","pts","ast","treb","ratioPIE","urlNBAAPI","nameFirst","nameLast","namePlayerAbbr","codeTeam","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","urlPlayerPhoto"
1713,"Vince Carter",1977-01-26,15,1610612737,"Hawks","ATL","Atlanta","vince_carter",1999,2020,1998,1,5,"2019-20","North Carolina","North Carolina/USA",78,220,21,5.3,1,2,0.046,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1713","Vince","Carter","V. Carter","hawks","https://stats.nba.com/player/1713","https://stats.nba.com/media/players/230x185/1713.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1713.png","https://stats.nba.com/media/players/700/1713.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1713.png"
2199,"Tyson Chandler",1982-10-02,19,1610612745,"Rockets","HOU","Houston","tyson_chandler",2002,2020,2001,1,2,"2019-20","No College","Dominguez HS (CA)/USA",84,235,18,1.5,0.3,2.8,0.075,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2199","Tyson","Chandler","T. Chandler","rockets","https://stats.nba.com/player/2199","https://stats.nba.com/media/players/230x185/2199.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2199.png","https://stats.nba.com/media/players/700/2199.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2199.png"
2200,"Pau Gasol",1980-07-06,17,1610612749,"Bucks","MIL","Milwaukee","pau_gasol",2002,2019,2001,1,3,"career",NA,"Spain",84,250,18,17,3.2,9.2,NA,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2200","Pau","Gasol","P. Gasol","bucks","https://stats.nba.com/player/2200","https://stats.nba.com/media/players/230x185/2200.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2200.png","https://stats.nba.com/media/players/700/2200.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2200.png"
2544,"LeBron James",1984-12-30,23,1610612747,"Lakers","LAL","Los Angeles","lebron_james",2004,2020,2003,1,1,"2019-20","No College","St. Vincent-St. Mary HS (OH)/USA",81,250,16,25.3,10.9,7.7,0.195,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2544","LeBron","James","L. James","lakers","https://stats.nba.com/player/2544","https://stats.nba.com/media/players/230x185/2544.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2544.png","https://stats.nba.com/media/players/700/2544.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2544.png"
2546,"Carmelo Anthony",1984-05-29,0,1610612757,"Trail Blazers","POR","Portland","carmelo_anthony",2004,2020,2003,1,3,"2019-20","Syracuse","Syracuse/USA",80,238,16,16.2,1.2,6.2,0.081,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2546","Carmelo","Anthony","C. Anthony","blazers","https://stats.nba.com/player/2546","https://stats.nba.com/media/players/230x185/2546.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2546.png","https://stats.nba.com/media/players/700/2546.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2546.png"
2594,"Kyle Korver",1981-03-17,26,1610612749,"Bucks","MIL","Milwaukee","kyle_korver",2004,2020,2003,2,51,"2019-20","Creighton","Creighton/USA",79,212,16,6.4,1.1,1.9,0.067,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2594","Kyle","Korver","K. Korver","bucks","https://stats.nba.com/player/2594","https://stats.nba.com/media/players/230x185/2594.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2594.png","https://stats.nba.com/media/players/700/2594.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2594.png"
2617,"Udonis Haslem",1980-06-09,40,1610612748,"Heat","MIA","Miami","udonis_haslem",2004,2020,NA,NA,NA,"2019-20","Florida","Florida/USA",80,235,16,2.5,0,1.5,0.119,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2617","Udonis","Haslem","U. Haslem","heat","https://stats.nba.com/player/2617","https://stats.nba.com/media/players/230x185/2617.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2617.png","https://stats.nba.com/media/players/700/2617.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2617.png"
2730,"Dwight Howard",1985-12-08,39,1610612747,"Lakers","LAL","Los Angeles","dwight_howard",2005,2020,2004,1,1,"2019-20","No College","SW Atlanta Christian Academy (GA)/USA",82,265,15,7.1,0.7,6.8,0.107,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2730","Dwight","Howard","D. Howard","lakers","https://stats.nba.com/player/2730","https://stats.nba.com/media/players/230x185/2730.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2730.png","https://stats.nba.com/media/players/700/2730.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2730.png"
2772,"Trevor Ariza",1985-06-30,0,1610612758,"Kings","SAC","Sacramento","trevor_ariza",2005,2020,2004,2,43,"2019-20","UCLA","UCLA/USA",80,215,15,5.3,1.4,4.5,0.074,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2772","Trevor","Ariza","T. Ariza","kings","https://stats.nba.com/player/2772","https://stats.nba.com/media/players/230x185/2772.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2772.png","https://stats.nba.com/media/players/700/2772.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2772.png"
101107,"Marvin Williams",1986-06-19,2,1610612766,"Hornets","CHA","Charlotte","marvin_williams",2006,2020,2005,1,2,"2019-20","North Carolina","North Carolina/USA",80,237,14,7.3,1,2.8,0.081,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=101107","Marvin","Williams","M. Williams","hornets","https://stats.nba.com/player/101107","https://stats.nba.com/media/players/230x185/101107.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101107.png","https://stats.nba.com/media/players/700/101107.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101107.png"
