"idGame","namePlayer","passes","fgmContested","fgaContested","pctFGContested","fgmUncontested","fgaUncontested","pctFGUncontested","fgmRimDefended","fgaRimDefended","pctFGRimDefended","distMiles","mphMean","orebChances","drebChances","trebChances","touches","astSecondary","ftAST","ast"
21900001,"Jrue Holiday",77,5,9,0.556,1,6,0.167,0,2,0,3.23,4.32,2,5,7,101,2,2,6
21900001,"Brandon Ingram",46,5,9,0.556,3,10,0.3,4,8,0.5,2.78,4.33,1,9,9,69,2,0,5
21900001,"Derrick Favors",35,3,3,1,0,3,0,7,8,0.875,1.75,4.6,4,8,10,43,0,0,2
21900001,"JJ Redick",17,1,2,0.5,5,7,0.714,1,3,0.333,2.29,4.64,0,4,4,30,0,0,1
21900001,"Lonzo Ball",42,0,2,0,2,5,0.4,3,4,0.75,2,4.44,0,9,9,52,1,0,5
21900001,"Josh Hart",27,2,5,0.4,2,4,0.5,2,4,0.5,2.22,4.31,5,8,13,42,0,0,1
21900001,"Jahlil Okafor",21,3,3,1,0,0,0,3,5,0.6,0.98,4.26,5,1,6,28,2,0,0
21900001,"E'Twaun Moore",0,0,2,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,2
21900001,"Nickeil Alexander-Walker",28,0,2,0,1,8,0.125,1,1,1,1.01,4.7,2,6,8,40,0,0,2
21900001,"Kenrich Williams",30,0,2,0,0,2,0,0,4,0,1.43,4.41,10,5,15,36,0,0,3
21900001,"Nicolo Melli",34,0,1,0,5,6,0.833,1,3,0.333,1.49,4.22,2,5,7,43,0,0,2
21900001,"Frank Jackson",10,1,2,0.5,2,4,0.5,0,0,0,1.06,4.19,0,0,0,18,1,0,1
21900001,"Jaxson Hayes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900001,"OG Anunoby",29,3,7,0.429,2,5,0.4,2,4,0.5,2.78,4.29,5,8,12,42,0,0,0
21900001,"Pascal Siakam",58,7,18,0.389,4,8,0.5,4,7,0.571,3.14,4.51,10,14,24,97,0,0,5
21900001,"Marc Gasol",58,1,4,0.25,1,5,0.2,4,4,1,2.19,3.78,1,6,7,70,0,0,1
21900001,"Kyle Lowry",87,0,4,0,4,11,0.364,0,3,0,3.22,3.92,3,7,10,118,2,0,6
21900001,"Fred VanVleet",70,7,9,0.778,5,9,0.556,0,1,0,3.36,4.17,3,9,12,95,0,2,7
21900001,"Serge Ibaka",24,4,5,0.8,0,5,0,3,5,0.6,1.93,4.1,9,7,16,37,0,0,0
21900001,"Norman Powell",31,2,3,0.667,0,4,0,1,1,1,2.18,4.2,1,10,11,44,1,0,2
21900001,"Terence Davis",18,1,2,0.5,1,4,0.25,0,1,0,1.27,4.57,3,4,7,24,0,0,2
21900001,"Chris Boucher",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
